Data transação,Data liquidação,Descrição,Valor,Saldo
2024-07-09,2024-07-09,Imposto sobre dividendo de CONY,-318.77,3119.76
2024-07-09,2024-07-10,Imposto sobre dividendo de NVDY,-370.61,3438.53
2024-07-09,2024-07-10,Dividendos de NVDY,1235.35,3809.14
2024-07-09,2024-07-09,Dividendos de MSTY,699.6,2573.79
2024-07-09,2024-07-09,Imposto sobre dividendo de MSTY,-209.88,1874.19
2024-07-10,2024-07-10,Transferência para Conta corrente,-1000,3182.34
2024-07-12,2024-07-12,Rentabilidade de aluguel de ativo,0.04,3182.37
2024-07-12,2024-07-12,Imposto de aluguel de ativo,-0.01,3182.33
2024-07-13,2024-07-15,Imposto sobre ADR de BABA,-0.81,3249.45
2024-07-13,2024-07-15,Dividendos de BABA,67.89,3250.26
2024-07-16,2024-07-16,Transferência para Conta corrente,-2000,1249.45
2024-07-17,2024-07-17,Transferência para Conta corrente,-1100,149.45
2024-08-08,2024-08-08,Transferência da Conta corrente para Conta investimento,375.81,525.26
2024-08-09,2024-08-09,Dividendos de MSTY,582.15,1846.36
2024-08-09,2024-08-09,Dividendos de NVDY,625.6,1264.21
2024-08-09,2024-08-09,Imposto sobre dividendo de NVDY,-187.68,638.61
2024-08-09,2024-08-09,Imposto sobre dividendo de MSTY,-174.65,826.29
2024-08-09,2024-08-09,Dividendos de CONY,679.54,1000.94
2024-08-09,2024-08-09,Imposto sobre dividendo de CONY,-203.86,321.4
2024-08-14,2024-08-14,Imposto de aluguel de ativo,-0.05,1846.48
2024-08-14,2024-08-14,Rentabilidade de aluguel de ativo,0.17,1846.53
2024-08-16,2024-08-19,Compra de 11505 CONY a $ 1598 cada,-1838.48,3
2024-08-16,2024-08-19,Cobrança de taxa de corretagem de CONY,-5,1841.48
2024-08-17,2024-08-19,Imposto sobre dividendo de OMF,-28.39,69.25
2024-08-17,2024-08-19,Dividendos de OMF,94.64,97.64
2024-09-05,2024-09-06,Compra de 73661 CONY a $ 1350 cada,-9942.19,0.5
2024-09-05,2024-09-06,Cobrança de taxa de corretagem de CONY,-7.5,9942.69
2024-09-05,2024-09-06,Cobrança de taxa de corretagem de FBTC,-7.5,9950.19
2024-09-05,2024-09-06,Venda de 200 FBTC a $ 4944 cada,9888.44,9957.69
2024-09-10,2024-09-10,Transferência para Conta corrente,-50,1929.17
2024-09-10,2024-09-10,Imposto sobre dividendo de CONY,-230.68,1979.17
2024-09-10,2024-09-10,Dividendos de CONY,768.92,2209.85
2024-09-10,2024-09-10,Imposto sobre dividendo de MSTY,-166.87,1440.93
2024-09-10,2024-09-11,Imposto sobre dividendo de CONY,-247.24,1607.8
2024-09-10,2024-09-10,Dividendos de MSTY,556.23,1855.04
2024-09-10,2024-09-11,Dividendos de CONY,824.13,1298.81
